pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,96/1516,4676/248612,0.0205303678357571,3.36681781555622,12.7979687441698,3.72155076617539e-24,1.84216762925682e-22,1.38089120534403e-22,hsa-let-7g-3p:ATXN1/hsa-miR-103a-2-5p:PDE4D/hsa-miR-106a-5p:ATXN1/hsa-miR-106b-5p:ATXN1/hsa-miR-1277-3p:ATXN1/hsa-miR-1301-3p:ATXN1/hsa-miR-130b-3p:ATXN1/hsa-miR-130b-5p:ATXN1/hsa-miR-141-3p:ATXN1/hsa-miR-148b-5p:ATXN1/hsa-miR-149-5p:ATXN1/hsa-miR-151a-5p:ATXN1/hsa-miR-16-1-3p:ATXN1/hsa-miR-16-2-3p:ATXN1/hsa-miR-17-3p:ATXN1/hsa-miR-17-5p:ATXN1/hsa-miR-181c-3p:ATXN1/hsa-miR-182-5p:ATXN1/hsa-miR-188-3p:ATXN1/hsa-miR-188-5p:ATXN1/hsa-miR-18a-5p:ATXN1/hsa-miR-19a-3p:ATXN1/hsa-miR-19b-3p:ATXN1/hsa-miR-200a-3p:ATXN1/hsa-miR-200b-3p:ATXN1/hsa-miR-200c-3p:ATXN1/hsa-miR-20a-3p:ATXN1/hsa-miR-20a-5p:ATXN1/hsa-miR-20b-5p:ATXN1/hsa-miR-219a-5p:ATXN1/hsa-miR-301a-3p:ATXN1/hsa-miR-301a-5p:ATXN1/hsa-miR-301b-3p:ATXN1/hsa-miR-301b-5p:ATXN1/hsa-miR-3065-5p:ATXN1/hsa-miR-3065-5p:PDE4D/hsa-miR-3131:ATXN1/hsa-miR-3187-3p:ATXN1/hsa-miR-3189-3p:ATXN1/hsa-miR-324-3p:ATXN1/hsa-miR-345-3p:ATXN1/hsa-miR-3928-3p:ATXN1/hsa-miR-429:ATXN1/hsa-miR-454-3p:ATXN1/hsa-miR-454-5p:ATXN1/hsa-miR-4728-3p:ATXN1/hsa-miR-4728-5p:ATXN1/hsa-miR-4742-3p:AKAP13/hsa-miR-4742-3p:ATXN1/hsa-miR-483-3p:ATXN1/hsa-miR-508-3p:ATXN1/hsa-miR-509-3p:ATXN1/hsa-miR-512-3p:ATXN1/hsa-miR-515-3p:ABCC4/hsa-miR-515-3p:ATXN1/hsa-miR-515-3p:PDE4D/hsa-miR-515-5p:ATXN1/hsa-miR-516b-5p:ATXN1/hsa-miR-518c-5p:ATXN1/hsa-miR-518f-5p:PDE4D/hsa-miR-519a-5p:PDE4D/hsa-miR-519d-3p:ATXN1/hsa-miR-519e-5p:ATXN1/hsa-miR-520a-5p:ATXN1/hsa-miR-520b-3p:ATXN1/hsa-miR-520c-3p:ATXN1/hsa-miR-520e-3p:ATXN1/hsa-miR-520f-3p:ATXN1/hsa-miR-525-5p:ATXN1/hsa-miR-526b-3p:ATXN1/hsa-miR-548d-3p:ABLIM1/hsa-miR-548d-3p:ATXN1/hsa-miR-548d-3p:PDE4D/hsa-miR-548f-3p:ABCC4/hsa-miR-548j-5p:ATXN1/hsa-miR-548y:RFX2/hsa-miR-556-3p:ATXN1/hsa-miR-570-3p:ATXN1/hsa-miR-589-3p:ATXN1/hsa-miR-616-5p:ATXN1/hsa-miR-671-5p:ATXN1/hsa-miR-6715b-3p:ATXN1/hsa-miR-6781-3p:ATXN1/hsa-miR-6783-3p:AKAP13/hsa-miR-6783-3p:ATXN1/hsa-miR-6844:ATXN1/hsa-miR-6868-3p:ATXN1/hsa-miR-7-5p:PDE4D/hsa-miR-769-3p:ATXN1/hsa-miR-7706:ATXN1/hsa-miR-877-3p:ATXN1/hsa-miR-93-5p:ATXN1/hsa-miR-940:ATXN1/hsa-miR-940:THSD4/hsa-miR-942-5p:ATXN1/hsa-miR-96-5p:ATXN1,96,8,BLCA,Edge_ORA,0.020202020202020204
LINDGREN_BLADDER_CANCER_CLUSTER_2B,LINDGREN_BLADDER_CANCER_CLUSTER_2B,93/1516,8550/248612,0.0108771929824561,1.7837735499699101,5.77682037761833,1.09151898329542e-7,1.16822031725671e-6,8.75699440367873e-7,hsa-let-7g-3p:COLEC12/hsa-let-7g-3p:DNAJB5/hsa-let-7g-3p:EBF1/hsa-let-7g-3p:PCDH7/hsa-miR-103a-2-5p:DNAJB5/hsa-miR-1226-3p:SOCS3/hsa-miR-1291:DNAJB5/hsa-miR-1291:TPM2/hsa-miR-130b-3p:C1S/hsa-miR-130b-3p:GADD45B/hsa-miR-130b-3p:GLIPR2/hsa-miR-135b-3p:RGS5/hsa-miR-148b-5p:EBF1/hsa-miR-148b-5p:GLIPR2/hsa-miR-149-3p:DNAJB5/hsa-miR-149-3p:PALM2AKAP2/hsa-miR-149-3p:SYNPO/hsa-miR-149-5p:DNAJB5/hsa-miR-149-5p:GLIPR2/hsa-miR-149-5p:SOCS3/hsa-miR-15a-5p:DNAJB5/hsa-miR-182-5p:TPM2/hsa-miR-183-3p:PCDH7/hsa-miR-183-5p:COLEC12/hsa-miR-183-5p:SOCS3/hsa-miR-185-3p:TPM2/hsa-miR-1910-3p:DNAJB5/hsa-miR-19a-3p:EBF1/hsa-miR-200a-5p:TMTC1/hsa-miR-200b-3p:TMTC1/hsa-miR-200b-5p:TMTC1/hsa-miR-200b-5p:TPM2/hsa-miR-200c-3p:TMTC1/hsa-miR-200c-5p:PCDH7/hsa-miR-203a-3p:COLEC12/hsa-miR-205-3p:AKAP12/hsa-miR-205-5p:TACC1/hsa-miR-219a-5p:GADD45B/hsa-miR-301a-3p:C1S/hsa-miR-301a-3p:GADD45B/hsa-miR-301a-3p:GLIPR2/hsa-miR-301b-3p:C1S/hsa-miR-301b-3p:GADD45B/hsa-miR-301b-3p:GLIPR2/hsa-miR-3065-5p:PCDH7/hsa-miR-3136-5p:EBF1/hsa-miR-3170:TPM2/hsa-miR-3189-3p:TPM2/hsa-miR-32-3p:PCDH7/hsa-miR-324-5p:PCDH7/hsa-miR-331-3p:PDGFRA/hsa-miR-33b-5p:CELF2/hsa-miR-425-5p:PCDH7/hsa-miR-429:TMTC1/hsa-miR-4446-3p:DNAJB5/hsa-miR-4446-3p:POSTN/hsa-miR-4501:PCDH7/hsa-miR-454-3p:C1S/hsa-miR-4638-3p:DDR2/hsa-miR-4664-5p:TPM2/hsa-miR-4665-5p:DNAJB5/hsa-miR-4668-3p:TMTC1/hsa-miR-4724-5p:PCDH7/hsa-miR-4728-3p:SOCS3/hsa-miR-4728-5p:DNAJB5/hsa-miR-4728-5p:SYNPO/hsa-miR-4742-3p:GLIPR2/hsa-miR-4742-3p:SYNPO/hsa-miR-4742-3p:TACC1/hsa-miR-4778-3p:DNAJB5/hsa-miR-4778-3p:PCDH7/hsa-miR-483-3p:DNAJB5/hsa-miR-5001-5p:TPM2/hsa-miR-518f-5p:PCDH7/hsa-miR-548y:TACC1/hsa-miR-577:TACC1/hsa-miR-584-5p:PNMA1/hsa-miR-589-3p:PCDH7/hsa-miR-636:GLIPR2/hsa-miR-6499-3p:TPM2/hsa-miR-6507-5p:ZNF738/hsa-miR-671-5p:GLIPR2/hsa-miR-671-5p:GPM6B/hsa-miR-6715b-3p:PCDH7/hsa-miR-6844:COLEC12/hsa-miR-6844:PCDH7/hsa-miR-7112-3p:TMTC1/hsa-miR-769-3p:COLEC12/hsa-miR-7974:TPM2/hsa-miR-877-5p:GLIPR2/hsa-miR-940:AOC3/hsa-miR-940:DNAJB5/hsa-miR-96-5p:GPM6B,93,37,BLCA,Edge_ORA,0.09343434343434344
OSMAN_BLADDER_CANCER_UP,OSMAN_BLADDER_CANCER_UP,91/1516,9869/248612,0.00922079238018036,1.5121369625471,4.06662649431649,8.75026711219306e-5,5.8730606380143e-4,4.4024537477938e-4,hsa-let-7g-3p:ATXN1/hsa-miR-106a-5p:ATXN1/hsa-miR-106b-5p:ATXN1/hsa-miR-1277-3p:ATXN1/hsa-miR-1301-3p:ATXN1/hsa-miR-130b-3p:ATXN1/hsa-miR-130b-5p:ATXN1/hsa-miR-141-3p:ATXN1/hsa-miR-148b-5p:ATXN1/hsa-miR-149-3p:CRTAP/hsa-miR-149-5p:ATXN1/hsa-miR-151a-5p:ATXN1/hsa-miR-16-1-3p:ATXN1/hsa-miR-16-2-3p:ATXN1/hsa-miR-17-3p:ATXN1/hsa-miR-17-5p:ATXN1/hsa-miR-181c-3p:ATXN1/hsa-miR-182-5p:ATXN1/hsa-miR-182-5p:JAZF1/hsa-miR-188-3p:ATXN1/hsa-miR-188-5p:ATXN1/hsa-miR-18a-5p:ATXN1/hsa-miR-19a-3p:ATXN1/hsa-miR-19b-3p:ATXN1/hsa-miR-200a-3p:ATXN1/hsa-miR-200b-3p:ATXN1/hsa-miR-200c-3p:ATXN1/hsa-miR-20a-3p:ATXN1/hsa-miR-20a-5p:ATXN1/hsa-miR-20b-5p:ATXN1/hsa-miR-219a-5p:ATXN1/hsa-miR-301a-3p:ATXN1/hsa-miR-301a-5p:ATXN1/hsa-miR-301b-3p:ATXN1/hsa-miR-301b-5p:ATXN1/hsa-miR-3065-5p:ATXN1/hsa-miR-3131:ATXN1/hsa-miR-3187-3p:ATXN1/hsa-miR-3189-3p:ATXN1/hsa-miR-324-3p:ATXN1/hsa-miR-331-3p:JAZF1/hsa-miR-345-3p:ATXN1/hsa-miR-345-3p:JAZF1/hsa-miR-3928-3p:ATXN1/hsa-miR-429:ATXN1/hsa-miR-449a:JAZF1/hsa-miR-454-3p:ATXN1/hsa-miR-454-5p:ATXN1/hsa-miR-4728-3p:ATXN1/hsa-miR-4728-5p:ATXN1/hsa-miR-4742-3p:AKAP13/hsa-miR-4742-3p:ATXN1/hsa-miR-4778-3p:NBPF14/hsa-miR-483-3p:ATXN1/hsa-miR-508-3p:ATXN1/hsa-miR-509-3p:ATXN1/hsa-miR-512-3p:ATXN1/hsa-miR-515-3p:ATXN1/hsa-miR-515-5p:ATXN1/hsa-miR-516b-5p:ATXN1/hsa-miR-518c-5p:ATXN1/hsa-miR-519d-3p:ATXN1/hsa-miR-519e-5p:ATXN1/hsa-miR-520a-5p:ATXN1/hsa-miR-520b-3p:ATXN1/hsa-miR-520c-3p:ATXN1/hsa-miR-520e-3p:ATXN1/hsa-miR-520f-3p:ATXN1/hsa-miR-525-5p:ATXN1/hsa-miR-526b-3p:ATXN1/hsa-miR-548d-3p:ATXN1/hsa-miR-548j-5p:ATXN1/hsa-miR-556-3p:ATXN1/hsa-miR-570-3p:ATXN1/hsa-miR-589-3p:ATXN1/hsa-miR-616-5p:ATXN1/hsa-miR-671-5p:ATXN1/hsa-miR-6715b-3p:ATXN1/hsa-miR-6781-3p:ATXN1/hsa-miR-6781-3p:CRTAP/hsa-miR-6783-3p:AKAP13/hsa-miR-6783-3p:ATXN1/hsa-miR-6844:ATXN1/hsa-miR-6868-3p:ATXN1/hsa-miR-769-3p:ATXN1/hsa-miR-7706:ATXN1/hsa-miR-877-3p:ATXN1/hsa-miR-93-5p:ATXN1/hsa-miR-940:ATXN1/hsa-miR-942-5p:ATXN1/hsa-miR-96-5p:ATXN1,91,59,BLCA,Edge_ORA,0.14898989898989898
WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER,WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER,8/1516,352/248612,0.0227272727272727,3.72709282801631,4.01046555624072,0.00161318179573932,0.00798524988890964,0.00598575350524327,hsa-miR-1291:ZCCHC24/hsa-miR-191-3p:CNN1/hsa-miR-584-5p:SELENOP/hsa-miR-6783-3p:PEG3/hsa-miR-877-3p:PTGER3/hsa-miR-93-3p:ZCCHC24/hsa-miR-939-5p:VCAN/hsa-miR-944:SELENOP,8,80,BLCA,Edge_ORA,0.20202020202020202
KEGG_BLADDER_CANCER,KEGG_BLADDER_CANCER,18/1516,1691/248612,0.0106445890005914,1.74562833813656,2.40986164123277,0.0180331610102735,0.072132644041094,0.0540707220084756,hsa-let-7c-3p:E2F3/hsa-miR-1-5p:E2F3/hsa-miR-133a-5p:E2F3/hsa-miR-139-5p:E2F3/hsa-miR-143-5p:E2F3/hsa-miR-145-5p:E2F3/hsa-miR-21-5p:E2F3/hsa-miR-224-3p:CDKN2A/hsa-miR-26a-5p:E2F3/hsa-miR-30a-5p:E2F3/hsa-miR-329-3p:E2F3/hsa-miR-370-5p:E2F3/hsa-miR-432-5p:E2F3/hsa-miR-455-3p:RPS6KA5/hsa-miR-4668-3p:RPS6KA5/hsa-miR-543:RPS6KA5/hsa-miR-6507-5p:E2F3/hsa-miR-944:CDKN2A,18,99,BLCA,Edge_ORA,0.25
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,54/1516,8484/248612,0.00636492220650637,1.04379685989707,0.321513205526067,0.393233717099765,0.855607428414874,0.641364420023909,hsa-let-7c-5p:GMNN/hsa-miR-103a-2-5p:TFRC/hsa-miR-10a-3p:KIF14/hsa-miR-1287-3p:TRIP13/hsa-miR-139-3p:TRIP13/hsa-miR-141-5p:TRIP13/hsa-miR-145-5p:CKS1B/hsa-miR-145-5p:RRP1/hsa-miR-149-3p:IMPA2/hsa-miR-149-5p:TRIP13/hsa-miR-15a-5p:H2BC5/hsa-miR-15a-5p:KIF2C/hsa-miR-15a-5p:MELK/hsa-miR-16-1-3p:TRIP13/hsa-miR-182-5p:UCK2/hsa-miR-183-5p:ITPR1/hsa-miR-195-5p:KIF2C/hsa-miR-195-5p:MELK/hsa-miR-200b-3p:TRIP13/hsa-miR-200c-3p:TRIP13/hsa-miR-205-3p:AKAP12/hsa-miR-205-3p:MELK/hsa-miR-224-3p:MELK/hsa-miR-23b-3p:KIF11/hsa-miR-23b-3p:MELK/hsa-miR-23b-3p:TRIP13/hsa-miR-26a-5p:CHAF1A/hsa-miR-30a-5p:MELK/hsa-miR-30c-2-3p:GMNN/hsa-miR-30c-2-3p:TRIP13/hsa-miR-30e-3p:CKS1B/hsa-miR-337-3p:CHAF1A/hsa-miR-337-3p:CKS1B/hsa-miR-3614-3p:IMPA2/hsa-miR-383-5p:H2BC5/hsa-miR-410-3p:WDHD1/hsa-miR-429:TRIP13/hsa-miR-433-3p:CKS1B/hsa-miR-4724-5p:KIF11/hsa-miR-4728-5p:IMPA2/hsa-miR-4728-5p:PLK1/hsa-miR-4778-3p:BIRC5/hsa-miR-483-3p:GMNN/hsa-miR-485-5p:CKS1B/hsa-miR-485-5p:RPA3/hsa-miR-495-3p:NCAPG2/hsa-miR-495-3p:TRIP13/hsa-miR-497-5p:KIF2C/hsa-miR-497-5p:MELK/hsa-miR-518f-5p:KIF11/hsa-miR-543:TRIP13/hsa-miR-548ba:TRIP13/hsa-miR-6507-5p:DBF4/hsa-miR-7705:MELK,54,182,BLCA,Edge_ORA,0.4595959595959596
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,55/1516,8802/248612,0.00624857986821177,1.02471763733236,0.184944281193656,0.445801930121468,0.905320842708213,0.678629658808389,hsa-let-7g-3p:EBF1/hsa-miR-103a-2-5p:TFRC/hsa-miR-10a-3p:KIF14/hsa-miR-1287-3p:TRIP13/hsa-miR-139-3p:TRIP13/hsa-miR-141-5p:TRIP13/hsa-miR-145-5p:CKS1B/hsa-miR-145-5p:RRP1/hsa-miR-148b-5p:EBF1/hsa-miR-149-3p:NUDT1/hsa-miR-149-3p:PALM2AKAP2/hsa-miR-149-5p:TRIP13/hsa-miR-150-5p:HILPDA/hsa-miR-15a-5p:KIF2C/hsa-miR-15a-5p:MELK/hsa-miR-16-1-3p:TRIP13/hsa-miR-182-5p:UCK2/hsa-miR-195-5p:KIF2C/hsa-miR-195-5p:MELK/hsa-miR-19a-3p:EBF1/hsa-miR-200b-3p:TRIP13/hsa-miR-200c-3p:TRIP13/hsa-miR-205-3p:AKAP12/hsa-miR-205-3p:MELK/hsa-miR-224-3p:MELK/hsa-miR-23b-3p:KIF11/hsa-miR-23b-3p:MELK/hsa-miR-23b-3p:TRIP13/hsa-miR-29c-3p:CD80/hsa-miR-3065-3p:CD80/hsa-miR-30a-5p:MELK/hsa-miR-30c-2-3p:NUDT1/hsa-miR-30c-2-3p:TRIP13/hsa-miR-30e-3p:CKS1B/hsa-miR-3136-5p:EBF1/hsa-miR-337-3p:CKS1B/hsa-miR-3913-5p:NUDT1/hsa-miR-410-3p:WDHD1/hsa-miR-429:TRIP13/hsa-miR-432-5p:HDGF/hsa-miR-433-3p:CKS1B/hsa-miR-4724-5p:KIF11/hsa-miR-4728-5p:NUDT1/hsa-miR-4728-5p:PLK1/hsa-miR-4742-3p:CDCA7/hsa-miR-4778-3p:BIRC5/hsa-miR-485-5p:CKS1B/hsa-miR-495-3p:NCAPG2/hsa-miR-495-3p:TRIP13/hsa-miR-497-5p:KIF2C/hsa-miR-497-5p:MELK/hsa-miR-518f-5p:KIF11/hsa-miR-543:TRIP13/hsa-miR-548ba:TRIP13/hsa-miR-7705:MELK,55,195,BLCA,Edge_ORA,0.49242424242424243
LINDGREN_BLADDER_CANCER_CLUSTER_1_UP,LINDGREN_BLADDER_CANCER_CLUSTER_1_UP,18/1516,2932/248612,0.00613915416098226,1.00677268751327,0.0288958206216746,0.520724817197646,0.99999999938339,0.749601275454854,hsa-miR-125b-5p:STON2/hsa-miR-130b-3p:LDLRAD4/hsa-miR-130b-5p:PGAP4/hsa-miR-17-5p:LDLRAD4/hsa-miR-183-5p:TMX4/hsa-miR-19a-3p:LDLRAD4/hsa-miR-205-3p:LDLRAD4/hsa-miR-20a-5p:LDLRAD4/hsa-miR-301a-3p:LDLRAD4/hsa-miR-301a-5p:LDLRAD4/hsa-miR-301b-3p:LDLRAD4/hsa-miR-301b-5p:LDLRAD4/hsa-miR-3662:LDLRAD4/hsa-miR-548d-3p:LDLRAD4/hsa-miR-5698:PGAP4/hsa-miR-616-5p:EIF3L/hsa-miR-877-5p:LDLRAD4/hsa-miR-944:LDLRAD4,18,202,BLCA,Edge_ORA,0.51010101010101
WP_BLADDER_CANCER,WP_BLADDER_CANCER,5/1516,845/248612,0.00591715976331361,0.970367363507205,-0.0675855465413139,0.58680914540788,0.99999999938339,0.749601275454854,hsa-miR-224-3p:CDKN2A/hsa-miR-455-3p:RPS6KA5/hsa-miR-4668-3p:RPS6KA5/hsa-miR-543:RPS6KA5/hsa-miR-944:CDKN2A,5,219,BLCA,Edge_ORA,0.553030303030303
LINDGREN_BLADDER_CANCER_CLUSTER_2A_DN,LINDGREN_BLADDER_CANCER_CLUSTER_2A_DN,21/1516,4359/248612,0.00481761871988988,0.790051335876823,-1.09537672889484,0.886872368661073,0.99999999938339,0.749601275454854,hsa-miR-103a-2-5p:RNF38/hsa-miR-1226-3p:SOCS3/hsa-miR-149-5p:SOCS3/hsa-miR-15a-5p:H2BC5/hsa-miR-183-5p:SOCS3/hsa-miR-183-5p:TMX4/hsa-miR-205-3p:RNF38/hsa-miR-3170:TOX2/hsa-miR-33b-5p:CELF2/hsa-miR-3613-5p:RNF38/hsa-miR-383-5p:H2BC5/hsa-miR-4728-3p:SOCS3/hsa-miR-584-5p:PNMA1/hsa-miR-584-5p:SELENOP/hsa-miR-6507-5p:ZNF738/hsa-miR-671-5p:PER3/hsa-miR-708-5p:RNF38/hsa-miR-939-5p:TOX2/hsa-miR-940:AOC3/hsa-miR-944:RNF38/hsa-miR-944:SELENOP,21,298,BLCA,Edge_ORA,0.7525252525252525
