pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
OSMAN_BLADDER_CANCER_DN,OSMAN_BLADDER_CANCER_DN,127/3338,431/14741,0.294663573085847,1.30126894273771,3.43443678710374,5.0850449604972e-4,0.0265947851434004,0.025050537279081,ABL2/AHCYL1/ARFGAP2/ARHGEF2/ARID1A/ASXL1/ASXL2/ATL2/ATP8B2/BACH2/CACNA1A/CAMK1D/CELF1/CEP57/CHTOP/CSTF3/CTDSP2/CYB561D1/CYTIP/DIABLO/DIDO1/DPF2/EEF1G/ELL3/ENOSF1/FLVCR1/GNAS/GNG7/GOSR1/GRIPAP1/HIF1AN/HMGN4/KCMF1/LEPROTL1/LYRM9/MAML2/MDM4/METTL4/MLH3/MPRIP/MRPS14/MRPS25/MRPS30/MYL12A/MYO1F/NISCH/NUDT5/PIGL/PML/PPM1K/PPP2CA/RABGAP1L/RAD50/RASGRF2/RHOH/RIPK1/RPL13/RPL13A/RPL15/RPL28/RPL36/RPL37/RPS15/RPS16/RPS6/RPS6KA5/SAFB/SAMD4B/SENP1/SIAH1/SKAP1/SKI/SMARCA2/SS18L2/SSU72/ST13/TGFBR2/TMEM63A/TRIM38/TUBD1/UBA52/UBE2B/USP36/UST/VAMP1/VWA8/WIPF2/WIPI2/ZNF230/ZNF275/ZNF398/ZNF493/ZNF506/ZNF544/ZNF763/ZNF780B/ZNF791/ZNF852/ZNF879/RPLP2/NMT2/PRMT2/CELF2/PHF1/ARIH2/SERINC3/OSBPL2/CARD11/CLIP1/TTF1/XPO7/EPB41/IDS/RPS11/CDK12/RIGI/FCMR/H2AC6/H4C8/H2BC21/ARHGAP45/MARCHF6/TENT4A/KMT5B/DMAC1/NSD3/PRUNE1,127,10,BLCA,TG_ORA,0.019120458891013385
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,96/3338,328/14741,0.292682926829268,1.29252217627029,2.89868397836199,0.00287982674971486,0.107582099292919,0.101335257057636,ACOT2/AK2/AKAP12/ARRB2/ASS1/ATP6V1C1/BIRC5/BRCA1/BRIX1/C5orf22/CDC25A/CDC6/CENPA/CENPN/CHAF1A/CKS1B/CLPTM1L/CSTF3/CTPS1/DAB2/DBF4/DEK/E2F1/FAM200B/GCA/GGCT/GMNN/GPATCH11/IMPA2/ITPR1/KIF11/KIF14/KIF2C/KPNA4/MCM8/MELK/MOBP/NAA50/NCAPG2/NCOA6/NEDD9/NEU1/NQO2/NUCB2/NXT2/OSBP/PAK1IP1/PANK1/PARD6B/PLK1/POP4/PPM1D/PRPS2/PSMC4/PXMP4/RACGAP1/RAD1/RBBP4/RBBP7/RBM38/RPA3/RRP1/SAE1/SCML1/SLC25A40/SLC39A8/SPATA13/TCF19/TFRC/TK1/TM4SF1/TOM1L1/TRIP13/TSC22D2/TTC39A/TWSG1/TXNRD1/TYMS/UCK2/USP14/WDHD1/WDR53/XPOT/YWHAQ/ZNF148/ZNF587/ZWINT/ZYG11B/RASL11B/EPHX1/OTULIN/H2BC5/LNPK/TARS1/NEMP1/SMIM29,96,14,BLCA,TG_ORA,0.02676864244741874
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,105/3338,378/14741,0.277777777777778,1.22669928766394,2.41577131952235,0.0104456133391334,0.260145513160323,0.245039952015762,ABCF2/ABI3BP/AKAP12/APLNR/ARRB2/BIRC5/BRCA1/CACUL1/CDC25A/CDC25B/CDC6/CDCA7/CDCP2/CDK9/CELSR3/CENPA/CENPN/CERS2/CKS1B/CLIC4/CTPS1/DAB2/DYRK2/E2F1/EBF1/ENO2/FYN/GFOD1/GNL3L/HDGF/HEYL/HILPDA/HMGCS1/ILF3/KIF11/KIF14/KIF2C/KLHL6/LCOR/MAN1C1/MCM8/MELK/MOBP/NAV2/NCAPG2/NCKIPSD/NEDD9/NEU1/NUDT1/PEA15/PITX2/PLK1/PRSS8/PSMA1/RACGAP1/RAI14/RASSF5/RBM28/RELL1/RRP1/SAE1/SBNO2/SFMBT1/SH3BP5/SLC1A3/SNX5/SPATA13/SSR1/ST3GAL2/STAT5B/TCF19/TFRC/TIMP2/TJP3/TK1/TRIM11/TRIP13/TTC39A/UCK2/VASN/WDHD1/YPEL3/ZNF148/ZNF703/ZWINT/MAP3K14/CD80/PRRC1/DLGAP4/CGN/IDO1/ADAM15/VPS37C/ERBB3/TMEM108/EPHX1/CLN3/SLC44A2/H1-0/MACROH2A1/JPT1/SUSD6/NSD2/PALM2AKAP2/PRUNE1,105,21,BLCA,TG_ORA,0.040152963671128104
OSMAN_BLADDER_CANCER_UP,OSMAN_BLADDER_CANCER_UP,108/3338,403/14741,0.267990074441687,1.1834756403070401,2.02054716652559,0.0265924323755397,0.360889845325951,0.339934482464618,ABHD17A/ACER3/ACTR3/AGO3/AKAP13/ALDH3B1/APPL1/ARPC4/ASB8/ATXN1/BAX/BBX/BLM/BSG/C19orf12/CBX6/CCDC125/CCDC88C/CEP57/CHURC1/CRTAP/CSNK1A1/CTSC/DCAF10/EDEM3/FAR1/FBXO22/FBXO9/GZMH/HAUS6/IL15/INO80D/IRF2BP2/JAZF1/KBTBD6/KHDRBS1/KLF2/KLHL6/KLHL9/KPNB1/LPGAT1/LYST/MAPK14/MOB1A/MR1/MRPS10/NBPF14/NDUFS1/NNT/NUCKS1/NUDT3/NXT2/PHACTR2/PLA2G4A/PRPF40A/PRR11/RAD23B/RAP2A/RASA2/RHOQ/RNH1/RPS6KC1/SAE1/SCP2/SDF4/SERBP1/SLC25A36/SLC25A40/SLC44A1/SMG1/SNRNP48/SNTB2/SOS1/SPIN4/SRP72/SSX2IP/SUGT1/TIPRL/TMEM107/TMEM33/TMX1/TNPO1/TNPO3/TPP1/TTC33/TUBB4B/TYMS/UBE2W/USP47/WDR41/XRCC4/ZFAND3/ZNF148/ZNF562/ZYG11B/ITGB2/YY1/RSF1/ANKRD17/SERINC3/RBMS1/CCND3/EOLA1/ARB2A/FYB1/MACROH2A1/LNPK/RO60,108,37,BLCA,TG_ORA,0.07074569789674952
LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,34/3338,116/14741,0.293103448275862,1.29437924836264,1.72214848953868,0.0566340565157489,0.470152564408518,0.442852772754728,ABL1/ACO1/ANKH/ANP32B/APTX/ASS1/ASTN2/CDK9/CREBL2/CUL5/DOCK8/DUSP22/FUBP3/GNAQ/KLHL9/MSANTD3/MTAP/PSMD5/RAD23B/RARA/RBM18/RNF38/SETX/SLC35D2/SMARCA2/SPTLC1/TDRP/TGFBR1/TNFRSF10C/TOPORS/TOR1B/VPS13A/NUP214/ANK2,34,63,BLCA,TG_ORA,0.12045889101338432
LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,59/3338,226/14741,0.261061946902655,1.15288021548593,1.25308153800156,0.12131889088194,0.634497799312547,0.597655167713137,ABCC4/ABLIM1/AGFG1/AHNAK/AKAP13/AP1G2/ARHGAP1/ATXN1/ATXN7L1/BMS1/CDC27/CDIP1/CFLAR/CHCHD5/CNN2/COL27A1/DGKH/DPP8/DST/DYRK4/EML2/EXT1/EXTL3/FARP2/FGFR3/GPX2/HHAT/HRAS/LPCAT2/MADD/MECOM/MED28/MOB3B/MXD4/NRG4/PDE4D/PML/RALGAPA1/RFX2/RFX5/RMND5A/RPS12/SH3PXD2A/SMAD6/SYTL2/THSD4/TSPYL1/ZNF655/ZNF827/TMEM120A/RGS12/PI4KB/JADE2/GMFG/SORL1/HMBOX1/ARHGEF40/TRIP6/DNAAF9,59,100,BLCA,TG_ORA,0.19120458891013384
WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,6/3338,16/14741,0.375,1.65604403834632,1.4205210662223,0.132446938265285,0.663554011724462,0.625024207481229,GCC2/MADD/MLPH/MYRIP/SYTL2/SYTL5,6,101,BLCA,TG_ORA,0.1931166347992352
KEGG_BLADDER_CANCER,KEGG_BLADDER_CANCER,13/3338,42/14741,0.30952380952381,1.36689349196839,1.28825875984736,0.135851460940559,0.664021626840302,0.625464670144432,CDKN2A/DAPK3/E2F1/E2F3/EGF/EGFR/FGFR3/HRAS/MAP2K2/RASSF1/RPS6KA5/TP53/PGF,13,107,BLCA,TG_ORA,0.2045889101338432
WP_BLADDER_CANCER,WP_BLADDER_CANCER,11/3338,40/14741,0.275,1.2144322947873,0.734732238078127,0.284610260242823,0.832550373977776,0.784207658290428,CDKN2A/DAPK3/E2F1/EGF/EGFR/FGFR3/HRAS/MAP2K2/RASSF1/RPS6KA5/TP53,11,174,BLCA,TG_ORA,0.3326959847036329
HP_BLADDER_NEOPLASM,HP_BLADDER_NEOPLASM,9/3338,34/14741,0.264705882352941,1.1689722623621,0.533672933338143,0.358914156722914,0.957714816153489,0.902104325168226,AXIN2/BAX/DCC/EP300/FGFR3/HRAS/MLH3/TP53/NTHL1,9,196,BLCA,TG_ORA,0.37476099426386233
