pathway,Description,setSize,enrichmentScore,NES,p_value,padj,qvalue,rank,leading_edge,core_enrichment,cancer,method,relative_rank
LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,LINDGREN_BLADDER_CANCER_CLUSTER_3_UP,96,0.618266690292863,2.83998609785792,1e-10,4.35833333333333e-9,3.7017543859649103e-9,1,"tags=51%, list=15%, signal=44%",KIF2C/ZWINT/CDC6/CENPA/PLK1/MELK/TK1/DBF4/TRIP13/CDC25A/KIF11/WDHD1/BIRC5/KIF14/CKS1B/BRCA1/H2BC5/CHAF1A/E2F1/RPA3/NCAPG2/AK2/RACGAP1/WDR53/NXT2/GGCT/TCF19/RRP1/BRIX1/CLPTM1L/GMNN/PSMC4/TFRC/XPOT/UCK2/POP4/PAK1IP1/NAA50/CSTF3/NEU1/TARS1/CENPN/PANK1/GCA/OTULIN/SMIM29/RAD1/C5orf22/ATP6V1C1,BLCA,TG_Score,0.0019120458891013384
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,LINDGREN_BLADDER_CANCER_CLUSTER_1_DN,104,0.516083149967915,2.42184697565828,4.64797664677404e-10,1.86991675866371e-8,1.58821550197461e-8,13,"tags=38%, list=12%, signal=35%",KIF2C/ZWINT/CDC6/CENPA/PLK1/MELK/TK1/TRIP13/CDC25A/KIF11/WDHD1/JPT1/BIRC5/KIF14/CKS1B/BRCA1/CELSR3/E2F1/HDGF/NCAPG2/NUDT1/CDCA7/RACGAP1/TCF19/RRP1/GNL3L/PRSS8/TRIM11/ILF3/NSD2/TFRC/UCK2/MACROH2A1/SSR1/SNX5/PRRC1/NEU1/IDO1/CENPN/RBM28,BLCA,TG_Score,0.0248565965583174
LINDGREN_BLADDER_CANCER_CLUSTER_2B,LINDGREN_BLADDER_CANCER_CLUSTER_2B,82,-0.533476628464061,-1.97818334859421,4.25852201866933e-6,9.39751416948296e-5,7.9817872185203e-5,23,"tags=45%, list=21%, signal=36%",C1S/SON/TENT5C/GLIPR2/TIMP2/C1R/COL16A1/PCDH7/COLEC12/CCDC80/PALM2AKAP2/TMTC1/FYN/LMCD1/IL16/ENTPD1/PNMA1/TACC1/SOCS3/GPM6B/PITX2/RGS5/AKAP12/SYNPO/CH25H/CLIC4/GADD45B/DDR2/PDGFRA/TPM2/ABI3BP/EBF1/CELF2/DNAJB5/AOC3/COG8/JAM3,BLCA,TG_Score,0.04397705544933078
LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,LINDGREN_BLADDER_CANCER_CLUSTER_3_DN,59,-0.464018272163843,-1.63755467829712,0.00268482150162805,0.0255302117336631,0.0216841085873117,55,"tags=47%, list=30%, signal=34%",MED28/DGKH/FARP2/ARHGEF40/HMBOX1/SYTL2/AP1G2/ZNF655/JADE2/ZNF827/CDIP1/DPP8/DST/SH3PXD2A/ATXN7L1/ABCC4/ATXN1/RALGAPA1/AHNAK/ABLIM1/RFX2/CFLAR/TSPYL1/ARHGAP1/THSD4/DNAAF9/AKAP13/PDE4D,BLCA,TG_Score,0.10516252390057361
LINDGREN_BLADDER_CANCER_CLUSTER_2A_DN,LINDGREN_BLADDER_CANCER_CLUSTER_2A_DN,34,-0.518516655352397,-1.64535088669771,0.0128081851938678,0.10305662855989,0.0875312413248939,65,"tags=53%, list=24%, signal=41%",TOX2/RIC1/SON/SETX/ARMC8/DUSP22/GNAQ/SELENOP/PNMA1/SOCS3/PER3/TMX4/AK1/CLIC4/RNF38/CELF2/AOC3/RHOB,BLCA,TG_Score,0.124282982791587
WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER,WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER,13,-0.652726075125045,-1.65662864863481,0.0142655267784264,0.109706283185341,0.0931791315371112,68,"tags=54%, list=17%, signal=45%",PEG3/PTGER3/SELENOP/CNN1/MYH11/ZCCHC24/GCHFR,BLCA,TG_Score,0.13001912045889102
LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP,LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP,1,-0.981921979067555,-1.31884475346101,0.0277884824956562,0.17301638506224,0.146951624225149,84,"tags=100%, list=2%, signal=98%",NA,BLCA,TG_Score,0.16061185468451242
KEGG_BLADDER_CANCER,KEGG_BLADDER_CANCER,13,0.493801164494706,1.39766528007192,0.0952380952380952,0.353259034110098,0.300040882347713,139,"tags=54%, list=22%, signal=42%",E2F1/CDKN2A/E2F3/PGF/HRAS/MAP2K2/TP53,BLCA,TG_Score,0.26577437858508607
LINDGREN_BLADDER_CANCER_CLUSTER_1_UP,LINDGREN_BLADDER_CANCER_CLUSTER_1_UP,28,-0.449213707548302,-1.33772679245467,0.0980392156862745,0.359859016485523,0.305646583389133,142,"tags=50%, list=27%, signal=37%",FUBP3/RARA/PGAP4/ZCWPW1/BBX/RIC1/VPS13A/CDIP1/BRD3/LDLRAD4/GNPDA2/TSPYL1/TMX4/EIF3L,BLCA,TG_Score,0.27151051625239003
LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,LINDGREN_BLADDER_CANCER_WITH_LOH_IN_CHR9Q,34,-0.405156070954026,-1.28563642790242,0.133812949640288,0.424146500981033,0.360249216894427,165,"tags=47%, list=21%, signal=37%",TOPORS/TDRP/CUL5/FUBP3/RARA/ACO1/VPS13A/CREBL2/SETX/SMARCA2/DUSP22/GNAQ/SLC35D2/ANK2/RNF38/ABL1,BLCA,TG_Score,0.3154875717017208
WP_BLADDER_CANCER,WP_BLADDER_CANCER,11,0.42798547016823,1.14667738795485,0.296296296296296,0.679662118258609,0.577271639136828,228,"tags=45%, list=22%, signal=35%",E2F1/CDKN2A/HRAS/MAP2K2/TP53,BLCA,TG_Score,0.4359464627151052
HP_BLADDER_NEOPLASM,HP_BLADDER_NEOPLASM,9,0.42876815791657,1.12276861374779,0.318295739348371,0.689144459436667,0.585325474252337,240,"tags=44%, list=22%, signal=35%",BAX/HRAS/NTHL1/TP53,BLCA,TG_Score,0.4588910133843212
OSMAN_BLADDER_CANCER_DN,OSMAN_BLADDER_CANCER_DN,127,-0.242467554878062,-0.962904412246692,0.543134872417983,0.874088695700019,0.742408029758294,323,"tags=26%, list=20%, signal=21%",VWA8/UBE2B/AHCYL1/DIDO1/ZNF791/MAML2/ARIH2/ST13/SIAH1/CTDSP2/HIF1AN/PRMT2/LYRM9/NMT2/UST/MPRIP/SMARCA2/ATP8B2/CLIP1/SKI/NISCH/TGFBR2/RPS6KA5/EEF1G/PPM1K/VAMP1/PHF1/CELF2/GNG7/ELL3/DIABLO/RAD50/IDS,BLCA,TG_Score,0.6175908221797323
WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,WP_DEREGULATION_OF_RAB_AND_RAB_EFFECTOR_GENES_IN_BLADDER_CANCER,6,-0.427687985137352,-0.88474426624809,0.618881118881119,0.902722423510467,0.766728112551911,356,"tags=83%, list=38%, signal=52%",MLPH/MADD/SYTL2/GCC2/MYRIP,BLCA,TG_Score,0.6806883365200764
LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE,LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE,10,-0.31593425351185,-0.749765000936699,0.783606557377049,0.942129263237234,0.800198347763133,435,"tags=70%, list=12%, signal=61%",VCAM1/IL7R/AEBP1/NAV2/MOB3A/FYN/ABI3BP,BLCA,TG_Score,0.8317399617590823
OSMAN_BLADDER_CANCER_UP,OSMAN_BLADDER_CANCER_UP,108,-0.182508673273476,-0.707938655179796,0.946384039900249,0.989902510976158,0.840774599239084,497,"tags=21%, list=22%, signal=17%",ZYG11B/IRF2BP2/MAPK14/NDUFS1/FBXO9/INO80D/PLA2G4A/LYST/SNTB2/AGO3/CBX6/ATXN1/CSNK1A1/RHOQ/CHURC1/USP47/CRTAP/ARB2A/AKAP13/JAZF1/KLF2/NBPF14/NUDT3,BLCA,TG_Score,0.9502868068833652
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP,SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP,32,0.853730425386717,3.12165957876948,1e-10,5.8e-9,4.8187134502924e-9,1,"tags=84%, list=8%, signal=78%",ZWINT/MELK/KIF11/GINS1/KIF2C/BIRC5/KIF14/KIF15/RACGAP1/PLK1/TROAP/TRIP13/POLQ/E2F1/PIMREG/JPT1/CDKN3/TIMELESS/CDC25A/NCAPG/BLM/NCAPG2/PARPBP/POLR2K/NUDT1/ELOC/OIP5,BRCA,TG_Score,0.0019157088122605363
