"pathway","cancer","method","n_enrich_pw","n_core_miR","n_CMC","n_CMC_core","prop_inter_core","prop_inter_CMC","n_core_gene","n_oncoKB","n_oncoKB_core","prop_oncoKB_inter_core","prop_inter_oncoKB","n_COSMIC","n_COSMIC_core","prop_COSMIC_inter_core","prop_inter_COSMIC","sqrt_CMC","sqrt_oncoKB","sqrt_COSMIC","F1_CMC","F1_oncoKB","F1_COSMIC"
"hallmark","BLCA","TG_Score",2,401,139,71,0.177057356608479,0.510791366906475,226,194,52,0.230088495575221,0.268041237113402,117,40,0.176991150442478,0.341880341880342,0.300731390451499,0.248340904805358,0.24598738793497,0.262962962962963,0.247619047619048,0.233236151603499
"hallmark","BLCA","Edge_ORA",3,224,139,51,0.227678571428571,0.366906474820144,132,182,30,0.227272727272727,0.164835164835165,110,15,0.113636363636364,0.136363636363636,0.289027234071365,0.193552415284691,0.124482399432992,0.28099173553719,0.191082802547771,0.12396694214876
"hallmark","BLCA","Edge_Score",6,727,139,135,0.185694635488308,0.971223021582734,819,254,149,0.181929181929182,0.586614173228346,147,83,0.101343101343101,0.564625850340136,0.424677412833151,0.326683695098939,0.23920897719767,0.311778290993072,0.277726001863933,0.17184265010352
"hallmark","BLCA","Edge_Network",5,245,139,54,0.220408163265306,0.388489208633094,3740,217,211,0.0564171122994652,0.972350230414747,132,128,0.0342245989304813,0.96969696969697,0.292619536127054,0.234216122723692,0.182174339224771,0.28125,0.106646449330301,0.0661157024793389
"hallmark","BRCA","TG_Score",2,316,139,65,0.205696202531646,0.467625899280576,253,194,49,0.193675889328063,0.252577319587629,117,33,0.130434782608696,0.282051282051282,0.310143308306757,0.221174449236869,0.191805363999193,0.285714285714286,0.21923937360179,0.178378378378378
"hallmark","BRCA","Edge_ORA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hallmark","BRCA","Edge_Score",3,667,139,129,0.193403298350825,0.928057553956835,457,199,111,0.242888402625821,0.557788944723618,121,66,0.144420131291028,0.545454545454545,0.423661884047468,0.368076711822769,0.280668161834993,0.320099255583127,0.338414634146341,0.228373702422145
"hallmark","BRCA","Edge_Network",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hallmark","CESC","TG_Score",2,199,139,62,0.311557788944724,0.446043165467626,171,194,41,0.239766081871345,0.211340206185567,117,25,0.146198830409357,0.213675213675214,0.372784418138686,0.225104893725116,0.176745767493272,0.366863905325444,0.224657534246575,0.173611111111111
"hallmark","CESC","Edge_ORA",2,76,139,29,0.381578947368421,0.20863309352518,69,174,21,0.304347826086957,0.120689655172414,108,13,0.188405797101449,0.12037037037037,0.282152434356954,0.191654987367688,0.150593743485665,0.269767441860465,0.172839506172839,0.146892655367232
