"cancer","padj_threshold","logFC_threshold","n_DEMGI","n_enrich","n_total","PR"
"BLCA",0.1,0,6396,288,2404,0.119800332778702
"BLCA",0.1,0.584962500721156,4038,379,2404,0.15765391014975
"BLCA",0.1,1,2139,299,2404,0.124376039933444
"BLCA",0.05,0,4464,292,2404,0.121464226289517
"BLCA",0.05,0.584962500721156,3068,333,2404,0.138519134775374
"BLCA",0.05,1,1718,254,2404,0.105657237936772
"BLCA",0.2,0,9828,317,2404,0.131863560732113
"BLCA",0.2,0.584962500721156,5434,417,2404,0.173460898502496
"BLCA",0.2,1,2735,349,2404,0.145174708818636
"BRCA",0.1,0,19531,507,2404,0.21089850249584
"BRCA",0.1,0.584962500721156,7974,441,2404,0.183444259567388
"BRCA",0.1,1,2898,352,2404,0.146422628951747
"BRCA",0.05,0,16303,517,2404,0.215058236272879
"BRCA",0.05,0.584962500721156,6940,430,2404,0.178868552412646
"BRCA",0.05,1,2526,328,2404,0.136439267886855
"BRCA",0.2,0,23485,503,2404,0.209234608985025
"BRCA",0.2,0.584962500721156,9214,454,2404,0.188851913477537
"BRCA",0.2,1,3311,370,2404,0.153910149750416
"CESC",0.1,0,1545,272,2404,0.113144758735441
"CESC",0.1,0.584962500721156,1280,239,2404,0.0994176372712146
"CESC",0.1,1,855,196,2404,0.0815307820299501
"CESC",0.05,0,806,220,2404,0.0915141430948419
"CESC",0.05,0.584962500721156,682,200,2404,0.0831946755407654
"CESC",0.05,1,474,146,2404,0.0607321131447587
"CESC",0.2,0,3178,386,2404,0.160565723793677
"CESC",0.2,0.584962500721156,2375,268,2404,0.111480865224626
"CESC",0.2,1,1487,244,2404,0.101497504159734
"COAD",0.1,0,1548,70,2404,0.0291181364392679
"COAD",0.1,0.584962500721156,1000,89,2404,0.0370216306156406
"COAD",0.1,1,728,108,2404,0.0449251247920133
"COAD",0.05,0,1170,55,2404,0.0228785357737105
"COAD",0.05,0.584962500721156,779,65,2404,0.0270382695507488
"COAD",0.05,1,585,87,2404,0.0361896838602329
"COAD",0.2,0,2087,78,2404,0.0324459234608985
"COAD",0.2,0.584962500721156,1318,111,2404,0.0461730449251248
"COAD",0.2,1,898,129,2404,0.0536605657237937
"ESCA",0.1,0,4837,264,2404,0.10981697171381
"ESCA",0.1,0.584962500721156,2899,389,2404,0.161813643926789
"ESCA",0.1,1,1132,293,2404,0.121880199667221
"ESCA",0.05,0,3038,253,2404,0.105241264559068
"ESCA",0.05,0.584962500721156,1946,322,2404,0.133943427620632
"ESCA",0.05,1,849,268,2404,0.111480865224626
"ESCA",0.2,0,7866,309,2404,0.128535773710483
"ESCA",0.2,0.584962500721156,4347,449,2404,0.186772046589018
"ESCA",0.2,1,1559,348,2404,0.144758735440932
"KICH",0.1,0,634,135,2404,0.0561564059900166
"KICH",0.1,0.584962500721156,326,59,2404,0.0245424292845258
"KICH",0.1,1,126,67,2404,0.0278702163061564
"KICH",0.05,0,273,89,2404,0.0370216306156406
"KICH",0.05,0.584962500721156,146,35,2404,0.0145590682196339
"KICH",0.05,1,50,30,2404,0.0124792013311148
"KICH",0.2,0,1458,129,2404,0.0536605657237937
"KICH",0.2,0.584962500721156,734,81,2404,0.03369384359401
"KICH",0.2,1,279,85,2404,0.0353577371048253
"KIRC",0.1,0,4506,186,2404,0.0773710482529118
"KIRC",0.1,0.584962500721156,1748,243,2404,0.10108153078203
"KIRC",0.1,1,688,166,2404,0.0690515806988353
"KIRC",0.05,0,3206,163,2404,0.0678036605657238
"KIRC",0.05,0.584962500721156,1369,203,2404,0.0844425956738769
"KIRC",0.05,1,538,150,2404,0.062396006655574
"KIRC",0.2,0,6927,196,2404,0.0815307820299501
"KIRC",0.2,0.584962500721156,2368,262,2404,0.108985024958403
"KIRC",0.2,1,926,183,2404,0.0761231281198003
"KIRP",0.1,0,3044,97,2404,0.0403494176372712
"KIRP",0.1,0.584962500721156,1322,162,2404,0.06738768718802
"KIRP",0.1,1,581,143,2404,0.0594841930116473
"KIRP",0.05,0,2045,110,2404,0.045757071547421
"KIRP",0.05,0.584962500721156,943,145,2404,0.0603161397670549
"KIRP",0.05,1,432,108,2404,0.0449251247920133
"KIRP",0.2,0,4916,121,2404,0.0503327787021631
"KIRP",0.2,0.584962500721156,1915,184,2404,0.0765391014975042
"KIRP",0.2,1,820,161,2404,0.0669717138103161
"LIHC",0.1,0,5183,285,2404,0.118552412645591
"LIHC",0.1,0.584962500721156,2059,306,2404,0.127287853577371
"LIHC",0.1,1,610,159,2404,0.0661397670549085
"LIHC",0.05,0,3747,203,2404,0.0844425956738769
"LIHC",0.05,0.584962500721156,1599,283,2404,0.117720465890183
"LIHC",0.05,1,451,110,2404,0.045757071547421
"LIHC",0.2,0,7684,286,2404,0.118968386023295
"LIHC",0.2,0.584962500721156,2756,357,2404,0.148502495840266
"LIHC",0.2,1,822,177,2404,0.0736272878535774
"LUAD",0.1,0,20824,481,2404,0.200083194675541
"LUAD",0.1,0.584962500721156,9179,379,2404,0.15765391014975
"LUAD",0.1,1,3226,345,2404,0.14351081530782
"LUAD",0.05,0,16584,475,2404,0.197587354409318
"LUAD",0.05,0.584962500721156,7559,349,2404,0.145174708818636
"LUAD",0.05,1,2674,286,2404,0.118968386023295
"LUAD",0.2,0,27151,477,2404,0.198419301164725
"LUAD",0.2,0.584962500721156,11154,398,2404,0.165557404326123
"LUAD",0.2,1,3949,429,2404,0.178452579034942
"LUSC",0.1,0,11176,622,2404,0.25873544093178
"LUSC",0.1,0.584962500721156,5818,587,2404,0.244176372712146
"LUSC",0.1,1,2571,331,2404,0.137687188019967
"LUSC",0.05,0,8616,586,2404,0.243760399334443
"LUSC",0.05,0.584962500721156,4593,555,2404,0.230865224625624
"LUSC",0.05,1,2022,300,2404,0.124792013311148
"LUSC",0.2,0,15005,657,2404,0.273294509151414
"LUSC",0.2,0.584962500721156,7484,619,2404,0.257487520798669
"LUSC",0.2,1,3303,422,2404,0.175540765391015
"PAAD",0.1,0,303,13,2404,0.00540765391014975
"PAAD",0.1,0.584962500721156,210,26,2404,0.0108153078202995
"PAAD",0.1,1,129,35,2404,0.0145590682196339
"PAAD",0.05,0,115,41,2404,0.0170549084858569
"PAAD",0.05,0.584962500721156,82,40,2404,0.0166389351081531
"PAAD",0.05,1,59,49,2404,0.0203826955074875
"PAAD",0.2,0,913,38,2404,0.0158069883527454
"PAAD",0.2,0.584962500721156,593,56,2404,0.0232945091514143
"PAAD",0.2,1,289,58,2404,0.024126455906822
"PRAD",0.1,0,10939,474,2404,0.197171381031614
"PRAD",0.1,0.584962500721156,3116,418,2404,0.1738768718802
"PRAD",0.1,1,795,191,2404,0.0794509151414309
"PRAD",0.05,0,8601,444,2404,0.184692179700499
"PRAD",0.05,0.584962500721156,2651,410,2404,0.170549084858569
"PRAD",0.05,1,677,155,2404,0.0644758735440932
"PRAD",0.2,0,14047,555,2404,0.230865224625624
"PRAD",0.2,0.584962500721156,3744,443,2404,0.184276206322795
"PRAD",0.2,1,954,217,2404,0.0902662229617305
"READ",0.1,0,797,59,2404,0.0245424292845258
"READ",0.1,0.584962500721156,594,55,2404,0.0228785357737105
"READ",0.1,1,466,57,2404,0.0237104825291181
"READ",0.05,0,685,56,2404,0.0232945091514143
"READ",0.05,0.584962500721156,509,51,2404,0.0212146422628952
"READ",0.05,1,405,49,2404,0.0203826955074875
"READ",0.2,0,1065,60,2404,0.0249584026622296
"READ",0.2,0.584962500721156,779,55,2404,0.0228785357737105
"READ",0.2,1,586,60,2404,0.0249584026622296
"STAD",0.1,0,16759,523,2404,0.217554076539101
"STAD",0.1,0.584962500721156,6439,524,2404,0.217970049916805
"STAD",0.1,1,1951,308,2404,0.128119800332779
"STAD",0.05,0,13190,480,2404,0.199667221297837
"STAD",0.05,0.584962500721156,5395,493,2404,0.205074875207987
"STAD",0.05,1,1630,273,2404,0.113560732113145
"STAD",0.2,0,21446,500,2404,0.207986688851913
"STAD",0.2,0.584962500721156,7947,510,2404,0.212146422628952
"STAD",0.2,1,2457,324,2404,0.13477537437604
"THCA",0.1,0,6742,165,2404,0.0686356073211314
"THCA",0.1,0.584962500721156,2131,191,2404,0.0794509151414309
"THCA",0.1,1,631,149,2404,0.0619800332778702
"THCA",0.05,0,5066,145,2404,0.0603161397670549
"THCA",0.05,0.584962500721156,1765,186,2404,0.0773710482529118
"THCA",0.05,1,550,147,2404,0.0611480865224626
"THCA",0.2,0,9459,158,2404,0.0657237936772047
"THCA",0.2,0.584962500721156,2594,198,2404,0.0823627287853577
"THCA",0.2,1,765,154,2404,0.0640599001663893
"UCEC",0.1,0,4148,248,2404,0.103161397670549
"UCEC",0.1,0.584962500721156,2501,238,2404,0.0990016638935108
"UCEC",0.1,1,1383,173,2404,0.0719633943427621
"UCEC",0.05,0,3025,262,2404,0.108985024958403
"UCEC",0.05,0.584962500721156,1895,216,2404,0.0898502495840266
"UCEC",0.05,1,1062,169,2404,0.0702995008319467
"UCEC",0.2,0,5922,276,2404,0.114808652246256
"UCEC",0.2,0.584962500721156,3432,286,2404,0.118968386023295
"UCEC",0.2,1,1814,200,2404,0.0831946755407654
