"cancer","padj_threshold","logFC_threshold","n_DEMGI","n_enrich","n_total","PR"
"BLCA",0.1,0,6396,223,2404,0.0927620632279534
"BLCA",0.1,0.584962500721156,4038,313,2404,0.130199667221298
"BLCA",0.1,1,2139,238,2404,0.0990016638935108
"BLCA",0.05,0,4464,227,2404,0.0944259567387687
"BLCA",0.05,0.584962500721156,3068,277,2404,0.11522462562396
"BLCA",0.05,1,1718,180,2404,0.0748752079866889
"BLCA",0.2,0,9828,243,2404,0.10108153078203
"BLCA",0.2,0.584962500721156,5434,330,2404,0.137271214642263
"BLCA",0.2,1,2735,280,2404,0.116472545757072
"BRCA",0.1,0,19531,452,2404,0.18801996672213
"BRCA",0.1,0.584962500721156,7974,361,2404,0.150166389351082
"BRCA",0.1,1,2898,275,2404,0.114392678868552
"BRCA",0.05,0,16303,470,2404,0.195507487520799
"BRCA",0.05,0.584962500721156,6940,353,2404,0.146838602329451
"BRCA",0.05,1,2526,267,2404,0.111064891846922
"BRCA",0.2,0,23485,457,2404,0.190099833610649
"BRCA",0.2,0.584962500721156,9214,381,2404,0.158485856905158
"BRCA",0.2,1,3311,298,2404,0.12396006655574
"CESC",0.1,0,1545,183,2404,0.0761231281198003
"CESC",0.1,0.584962500721156,1280,163,2404,0.0678036605657238
"CESC",0.1,1,855,105,2404,0.0436772046589018
"CESC",0.05,0,806,139,2404,0.0578202995008319
"CESC",0.05,0.584962500721156,682,117,2404,0.0486688851913478
"CESC",0.05,1,474,94,2404,0.0391014975041597
"CESC",0.2,0,3178,322,2404,0.133943427620632
"CESC",0.2,0.584962500721156,2375,190,2404,0.0790349417637271
"CESC",0.2,1,1487,170,2404,0.0707154742096506
"COAD",0.1,0,1548,33,2404,0.0137271214642263
"COAD",0.1,0.584962500721156,1000,55,2404,0.0228785357737105
"COAD",0.1,1,728,68,2404,0.0282861896838602
"COAD",0.05,0,1170,32,2404,0.0133111480865225
"COAD",0.05,0.584962500721156,779,41,2404,0.0170549084858569
"COAD",0.05,1,585,45,2404,0.0187188019966722
"COAD",0.2,0,2087,38,2404,0.0158069883527454
"COAD",0.2,0.584962500721156,1318,69,2404,0.0287021630615641
"COAD",0.2,1,898,84,2404,0.0349417637271215
"ESCA",0.1,0,4837,194,2404,0.0806988352745424
"ESCA",0.1,0.584962500721156,2899,283,2404,0.117720465890183
"ESCA",0.1,1,1132,172,2404,0.0715474209650582
"ESCA",0.05,0,3038,178,2404,0.0740432612312812
"ESCA",0.05,0.584962500721156,1946,231,2404,0.096089850249584
"ESCA",0.05,1,849,160,2404,0.0665557404326123
"ESCA",0.2,0,7866,225,2404,0.0935940099833611
"ESCA",0.2,0.584962500721156,4347,371,2404,0.15432612312812
"ESCA",0.2,1,1559,236,2404,0.0981697171381032
"KICH",0.1,0,634,75,2404,0.031198003327787
"KICH",0.1,0.584962500721156,326,25,2404,0.0103993344425957
"KICH",0.1,1,126,18,2404,0.00748752079866889
"KICH",0.05,0,273,28,2404,0.0116472545757072
"KICH",0.05,0.584962500721156,146,20,2404,0.00831946755407654
"KICH",0.05,1,50,4,2404,0.00166389351081531
"KICH",0.2,0,1458,84,2404,0.0349417637271215
"KICH",0.2,0.584962500721156,734,41,2404,0.0170549084858569
"KICH",0.2,1,279,41,2404,0.0170549084858569
"KIRC",0.1,0,4506,125,2404,0.0519966722129784
"KIRC",0.1,0.584962500721156,1748,158,2404,0.0657237936772047
"KIRC",0.1,1,688,130,2404,0.0540765391014975
"KIRC",0.05,0,3206,110,2404,0.045757071547421
"KIRC",0.05,0.584962500721156,1369,142,2404,0.0590682196339434
"KIRC",0.05,1,538,118,2404,0.0490848585690516
"KIRC",0.2,0,6927,157,2404,0.0653078202995008
"KIRC",0.2,0.584962500721156,2368,192,2404,0.0798668885191348
"KIRC",0.2,1,926,137,2404,0.0569883527454243
"KIRP",0.1,0,3044,40,2404,0.0166389351081531
"KIRP",0.1,0.584962500721156,1322,104,2404,0.043261231281198
"KIRP",0.1,1,581,98,2404,0.040765391014975
"KIRP",0.05,0,2045,27,2404,0.0112312811980033
"KIRP",0.05,0.584962500721156,943,83,2404,0.0345257903494176
"KIRP",0.05,1,432,68,2404,0.0282861896838602
"KIRP",0.2,0,4916,60,2404,0.0249584026622296
"KIRP",0.2,0.584962500721156,1915,124,2404,0.0515806988352745
"KIRP",0.2,1,820,104,2404,0.043261231281198
"LIHC",0.1,0,5183,235,2404,0.0977537437603993
"LIHC",0.1,0.584962500721156,2059,267,2404,0.111064891846922
"LIHC",0.1,1,610,78,2404,0.0324459234608985
"LIHC",0.05,0,3747,167,2404,0.0694675540765391
"LIHC",0.05,0.584962500721156,1599,239,2404,0.0994176372712146
"LIHC",0.05,1,451,64,2404,0.0266222961730449
"LIHC",0.2,0,7684,242,2404,0.100665557404326
"LIHC",0.2,0.584962500721156,2756,305,2404,0.126871880199667
"LIHC",0.2,1,822,99,2404,0.0411813643926789
"LUAD",0.1,0,20824,429,2404,0.178452579034942
"LUAD",0.1,0.584962500721156,9179,298,2404,0.12396006655574
"LUAD",0.1,1,3226,265,2404,0.110232945091514
"LUAD",0.05,0,16584,430,2404,0.178868552412646
"LUAD",0.05,0.584962500721156,7559,266,2404,0.110648918469218
"LUAD",0.05,1,2674,217,2404,0.0902662229617305
"LUAD",0.2,0,27151,435,2404,0.180948419301165
"LUAD",0.2,0.584962500721156,11154,341,2404,0.141846921797005
"LUAD",0.2,1,3949,331,2404,0.137687188019967
"LUSC",0.1,0,11176,595,2404,0.247504159733777
"LUSC",0.1,0.584962500721156,5818,526,2404,0.218801996672213
"LUSC",0.1,1,2571,217,2404,0.0902662229617305
"LUSC",0.05,0,8616,539,2404,0.224209650582363
"LUSC",0.05,0.584962500721156,4593,487,2404,0.202579034941764
"LUSC",0.05,1,2022,174,2404,0.0723793677204659
"LUSC",0.2,0,15005,618,2404,0.257071547420965
"LUSC",0.2,0.584962500721156,7484,588,2404,0.24459234608985
"LUSC",0.2,1,3303,304,2404,0.126455906821963
"PAAD",0.1,0,303,1,2404,0.000415973377703827
"PAAD",0.1,0.584962500721156,210,0,2404,0
"PAAD",0.1,1,129,0,2404,0
"PAAD",0.05,0,115,0,2404,0
"PAAD",0.05,0.584962500721156,82,10,2404,0.00415973377703827
"PAAD",0.05,1,59,19,2404,0.00790349417637271
"PAAD",0.2,0,913,5,2404,0.00207986688851913
"PAAD",0.2,0.584962500721156,593,8,2404,0.00332778702163062
"PAAD",0.2,1,289,10,2404,0.00415973377703827
"PRAD",0.1,0,10939,431,2404,0.179284525790349
"PRAD",0.1,0.584962500721156,3116,404,2404,0.168053244592346
"PRAD",0.1,1,795,166,2404,0.0690515806988353
"PRAD",0.05,0,8601,384,2404,0.15973377703827
"PRAD",0.05,0.584962500721156,2651,385,2404,0.160149750415973
"PRAD",0.05,1,677,131,2404,0.0544925124792013
"PRAD",0.2,0,14047,517,2404,0.215058236272879
"PRAD",0.2,0.584962500721156,3744,438,2404,0.182196339434276
"PRAD",0.2,1,954,179,2404,0.074459234608985
"READ",0.1,0,797,31,2404,0.0128951747088186
"READ",0.1,0.584962500721156,594,40,2404,0.0166389351081531
"READ",0.1,1,466,37,2404,0.0153910149750416
"READ",0.05,0,685,29,2404,0.012063227953411
"READ",0.05,0.584962500721156,509,32,2404,0.0133111480865225
"READ",0.05,1,405,34,2404,0.0141430948419301
"READ",0.2,0,1065,37,2404,0.0153910149750416
"READ",0.2,0.584962500721156,779,41,2404,0.0170549084858569
"READ",0.2,1,586,38,2404,0.0158069883527454
"STAD",0.1,0,16759,470,2404,0.195507487520799
"STAD",0.1,0.584962500721156,6439,449,2404,0.186772046589018
"STAD",0.1,1,1951,225,2404,0.0935940099833611
"STAD",0.05,0,13190,426,2404,0.17720465890183
"STAD",0.05,0.584962500721156,5395,408,2404,0.169717138103161
"STAD",0.05,1,1630,205,2404,0.0852745424292845
