"cancer","pathway","method","n_enrich","n_pathway","time","positive_rate"
"BLCA","TP","Edge_ORA",0,16,0.641000000000002,0
"BLCA","TP","Edge_Network",2,16,89.164,0.125
"BRCA","TP","Edge_ORA",2,186,4.927,0.010752688172043
"BRCA","TP","Edge_Network",2,186,248.647,0.010752688172043
"CESC","TP","Edge_ORA",0,4,0.128,0
"CESC","TP","Edge_Network",2,4,34.342,0.5
"COAD","TP","Edge_ORA",0,31,0.388,0
"COAD","TP","Edge_Network",5,31,65.385,0.161290322580645
"ESCA","TP","Edge_ORA",0,10,0.234999999999999,0
"ESCA","TP","Edge_Network",0,10,57.769,0
"KIRC","TP","Edge_ORA",1,6,2.56,0.166666666666667
"KIRC","TP","Edge_Network",2,6,36.027,0.333333333333333
"KIRP","TP","Edge_ORA",0,3,0.110999999999999,0
"KIRP","TP","Edge_Network",2,3,27.874,0.666666666666667
"LIHC","TP","Edge_ORA",2,121,3.31,0.0165289256198347
"LIHC","TP","Edge_Network",7,121,161.434,0.0578512396694215
"LUAD","TP","Edge_ORA",1,33,0.893000000000001,0.0303030303030303
"LUAD","TP","Edge_Network",4,33,103.76,0.121212121212121
"LUSC","TP","Edge_ORA",2,34,0.852,0.0588235294117647
"LUSC","TP","Edge_Network",4,34,147.479,0.117647058823529
"PAAD","TP","Edge_ORA",1,22,0.401,0.0454545454545455
"PAAD","TP","Edge_Network",1,22,41.492,0.0454545454545455
"PRAD","TP","Edge_ORA",0,39,2.585,0
"PRAD","TP","Edge_Network",1,39,69.339,0.0256410256410256
"READ","TP","Edge_ORA",1,17,0.305,0.0588235294117647
"READ","TP","Edge_Network",3,17,57.974,0.176470588235294
"STAD","TP","Edge_ORA",0,12,1.41600000000003,0
"STAD","TP","Edge_Network",0,12,51.321,0
"THCA","TP","Edge_ORA",0,30,0.930000000000003,0
"THCA","TP","Edge_Network",0,30,67.762,0
"UCEC","TP","Edge_ORA",0,6,3.056,0
"UCEC","TP","Edge_Network",3,6,59.561,0.5
